Algorithmn,No of Cloudlets,No. of Virtual Machine,Average Waiting Time,Maximum Waiting Time,Total Execution Time,Makespan,Degree Of Imbalance,Throughput
FCFS,100,50,18.14,123.48,3901.62,276.6331422,3.55,0.36
FCFS,200,50,57.32,298.51,7799,377.575791,2.42,0.53
FCFS,500,50,182.68,1009.76,20932.15,1160.819188,2.77,0.43
FCFS,1000,50,396.45,2005.49,41988.23,2067.14134,2.46,0.48
FCFS,5000,50,2041.24,9143.22,204464.98,9238.582499,2.26,0.54
SJF,100,50,18.14,123.48,3901.62,276.6331422,3.55,0.36
SJF,200,50,57.32,298.51,7799,377.575791,2.42,0.53
SJF,500,50,182.68,1009.76,20932.15,1160.819188,2.77,0.43
SJF,1000,50,396.45,2005.49,41988.23,2067.14134,2.46,0.48
SJF,5000,50,2041.24,9143.22,204464.98,9238.582499,2.26,0.54
MinMin,100,50,22.17,77.78,2962.64,114.2559821,1.93,0.88
MinMin,200,50,49.16,164.57,7547.48,299.3514214,1.98,0.67
MinMin,500,50,172.79,829.34,20707.04,947.8150043,2.29,0.53
MinMin,1000,50,386.05,1847.77,41803.35,1903.686323,2.28,0.53
MinMin,5000,50,2051.55,9289.72,204794.78,9381.444819,2.29,0.53
MaxMin,100,50,16.96,67.28,3366.94,74.47629266,1.11,1.34
MaxMin,200,50,53.11,196.09,7314.82,211.8537733,1.45,0.94
MaxMin,500,50,167.9,610.04,19927.95,741.9448587,1.86,0.67
MaxMin,1000,50,381.96,1530.77,40848.61,1664.053852,2.04,0.6
MaxMin,5000,50,2019.9,8881.31,202515.74,8975.925712,2.22,0.56
Round Robin,100,50,18.14,123.48,3901.62,276.6331422,3.55,0.36
Round Robin,200,50,57.32,298.51,7799,377.575791,2.42,0.53
Round Robin,500,50,182.68,1009.76,20932.15,1160.819188,2.77,0.43
Round Robin,1000,50,396.45,2005.49,41988.23,2067.14134,2.46,0.48
Round Robin,5000,50,2041.24,9143.22,204464.98,9238.582499,2.26,0.54
PSO,100,50,28.98,167.38,3484.47,171.11,2.51,0.57
PSO,200,50,68.36,288.62,7611.98,310.84,2.08,0.64
PSO,500,50,185.8,736.22,20069.61,757.37,1.89,0.66
PSO,1000,50,395.02,1432.88,40568.91,1462.42,1.8,0.68
PSO,5000,50,2020.94,7440.49,201451.08,7438.96,1.87,0.66
DSO,100,50,26.96,127.67,3465.01,160.11,2.28,0.63
DSO,200,50,66.67,262.79,7508.07,270.46,1.85,0.72
DSO,500,50,187.51,615.16,19651.86,679.69,1.73,0.74
DSO,1000,50,390.31,1318.13,39967.08,1363.04,1.71,0.73
DSO,5000,50,2099,6990.39,198672.16,7085.53,1.78,0.71
MCT_DSO,100,50,23.93,90.48,3280.34,140.11,2.12,0.72
MCT_DSO,200,50,64.54,230.5,7301.8,265.56,1.74,0.77
MCT_DSO,500,50,180.5,583.29,18703.75,625.92,1.67,0.8
MCT_DSO,1000,50,378.02,1210.57,39352.9,1270.01,1.61,0.79
MCT_DSO,5000,50,1962.23,6585.66,198431.53,6799.09,1.69,0.76
--------,--------,--------,--------,--------,--------,--------,--------,--------
--------,--------,--------,--------,--------,--------,--------,--------,--------
FCFS,1000,75,251.65,1233.15,41277.69,1329.805952,2.42,0.75
FCFS,1000,100,182.76,1038.91,41078.34,1218.122131,2.97,0.82
FCFS,1000,125,139.79,931.89,39958.19,1014.082992,3.17,0.99
FCFS,1000,150,114.39,708.7,40258.87,868.546477,3.24,1.15
FCFS,1000,200,81.7,669.58,41220.45,784.136236,3.8,1.28
SJF,1000,75,251.65,1233.15,41277.69,1329.805952,2.42,0.75
SJF,1000,100,182.76,1038.91,41078.34,1218.122131,2.97,0.82
SJF,1000,125,139.79,931.89,39958.19,1014.082992,3.17,0.99
SJF,1000,150,114.39,708.7,40258.87,868.546477,3.24,1.15
SJF,1000,200,81.7,669.58,41220.45,784.136236,3.8,1.28
MinMin,1000,75,242.9,1177.58,41383.64,1311.96695,2.38,0.76
MinMin,1000,100,168.95,829.28,40025.63,944.0211933,2.36,1.06
MinMin,1000,125,126.99,590.44,39220.57,699.3791255,2.23,1.43
MinMin,1000,150,102.15,466.94,39458.28,543.6464897,2.07,1.84
MinMin,1000,200,69.72,302.12,38453.32,396.4188566,2.06,2.52
MaxMin,1000,75,239.89,982.37,40186.97,1109.888221,2.07,0.9
MaxMin,1000,100,170.08,770.75,38765.08,780.7262514,2.01,1.28
MaxMin,1000,125,129.35,570.18,37985.43,582.0967975,1.92,1.72
MaxMin,1000,150,106.51,417.41,38157.82,455.7359309,1.79,2.19
MaxMin,1000,200,72.67,282.01,37538.91,308.3385867,1.64,3.24
Round Robin,1000,75,251.65,1233.15,41277.69,1329.805952,2.42,0.75
Round Robin,1000,100,182.76,1038.91,41078.34,1218.122131,2.97,0.82
Round Robin,1000,125,139.79,931.89,39958.19,1014.082992,3.17,0.99
Round Robin,1000,150,114.39,708.7,40258.87,868.546477,3.24,1.15
Round Robin,1000,200,81.7,669.58,41220.45,784.136236,3.8,1.28
PSO,1000,75,257.5,1081.61,39920.97,1070.64,2.18,0.85
PSO,1000,100,187.93,832.99,39091.94,900.11,2.24,1.03
PSO,1000,125,151.9,721.84,39167.38,730.58,2.37,1.35
PSO,1000,150,131.69,623.15,39970.98,666.81,2.58,1.46
PSO,1000,200,91.88,491.45,39162.94,556.4,2.84,1.8
DSO,1000,75,248.35,936.9,39009.81,1005.33,1.92,1
DSO,1000,100,181.22,752.64,38571.88,835.29,2.17,1.2
DSO,1000,125,148.99,676.64,39191.22,705.11,2.25,1.42
DSO,1000,150,128.53,606.71,39597.84,653.11,2.4,1.52
DSO,1000,200,97.42,463.26,39668.85,510.97,2.58,1.96
MCT_DSO,1000,75,249.24,911.89,39671.67,951.75,1.8,1.05
MCT_DSO,1000,100,180.13,762.56,38869.98,830.18,2.07,1.22
MCT_DSO,1000,125,126.04,661.25,38362.11,704.83,2.15,1.44
MCT_DSO,1000,150,119.8,583.5,40055.7,628.99,2.36,1.59
MCT_DSO,1000,200,90.44,429.95,39039.79,451.38,2.31,2.22
